date and time,value
[2020-04-10 15:03:02.050] ,703
[2020-04-10 15:03:02.150] ,696
[2020-04-10 15:03:02.251] ,655
[2020-04-10 15:03:02.351] ,629
[2020-04-10 15:03:02.451] ,656
[2020-04-10 15:03:02.551] ,725
[2020-04-10 15:03:02.651] ,749
[2020-04-10 15:03:02.752] ,774
[2020-04-10 15:03:02.852] ,740
[2020-04-10 15:03:02.943] ,744
[2020-04-10 15:03:03.053] ,740
[2020-04-10 15:03:03.153] ,655
[2020-04-10 15:03:03.253] ,577
[2020-04-10 15:03:03.353] ,561
[2020-04-10 15:03:03.453] ,643
[2020-04-10 15:03:03.553] ,686
[2020-04-10 15:03:03.653] ,730
[2020-04-10 15:03:03.753] ,754
[2020-04-10 15:03:03.856] ,759
[2020-04-10 15:03:03.956] ,746
[2020-04-10 15:03:04.059] ,728
[2020-04-10 15:03:04.157] ,637
[2020-04-10 15:03:04.256] ,617
[2020-04-10 15:03:04.358] ,646
[2020-04-10 15:03:04.457] ,703
[2020-04-10 15:03:04.557] ,724
[2020-04-10 15:03:04.658] ,756
[2020-04-10 15:03:04.757] ,760
[2020-04-10 15:03:04.858] ,756
[2020-04-10 15:03:04.958] ,726
[2020-04-10 15:03:05.058] ,662
[2020-04-10 15:03:05.158] ,636
[2020-04-10 15:03:05.259] ,634
[2020-04-10 15:03:05.359] ,662
[2020-04-10 15:03:05.460] ,744
[2020-04-10 15:03:05.559] ,788
[2020-04-10 15:03:05.659] ,795
[2020-04-10 15:03:05.760] ,790
[2020-04-10 15:03:05.857] ,772
[2020-04-10 15:03:05.957] ,687
[2020-04-10 15:03:06.057] ,626
[2020-04-10 15:03:06.157] ,619
[2020-04-10 15:03:06.257] ,638
[2020-04-10 15:03:06.357] ,726
[2020-04-10 15:03:06.456] ,748
[2020-04-10 15:03:06.556] ,762
[2020-04-10 15:03:06.656] ,741
[2020-04-10 15:03:06.756] ,715
[2020-04-10 15:03:06.863] ,675
[2020-04-10 15:03:06.963] ,616
[2020-04-10 15:03:07.063] ,531
