date and time,value
[2020-04-10 15:48:32.159] ,183
[2020-04-10 15:48:32.259] ,97
[2020-04-10 15:48:32.359] ,84
[2020-04-10 15:48:32.459] ,62
[2020-04-10 15:48:32.559] ,56
[2020-04-10 15:48:32.661] ,292
[2020-04-10 15:48:32.760] ,361
[2020-04-10 15:48:32.861] ,223
[2020-04-10 15:48:32.953] ,109
[2020-04-10 15:48:33.053] ,84
[2020-04-10 15:48:33.153] ,56
[2020-04-10 15:48:33.253] ,44
[2020-04-10 15:48:33.353] ,60
[2020-04-10 15:48:33.452] ,64
[2020-04-10 15:48:33.552] ,46
[2020-04-10 15:48:33.652] ,40
[2020-04-10 15:48:33.762] ,65
[2020-04-10 15:48:33.862] ,43
[2020-04-10 15:48:33.962] ,31
[2020-04-10 15:48:34.062] ,52
[2020-04-10 15:48:34.163] ,52
[2020-04-10 15:48:34.263] ,40
[2020-04-10 15:48:34.364] ,37
[2020-04-10 15:48:34.464] ,64
[2020-04-10 15:48:34.569] ,48
[2020-04-10 15:48:34.664] ,36
[2020-04-10 15:48:34.764] ,42
[2020-04-10 15:48:34.857] ,49
[2020-04-10 15:48:34.956] ,38
[2020-04-10 15:48:35.056] ,27
[2020-04-10 15:48:35.166] ,46
[2020-04-10 15:48:35.266] ,40
[2020-04-10 15:48:35.366] ,28
[2020-04-10 15:48:35.466] ,36
[2020-04-10 15:48:35.566] ,48
[2020-04-10 15:48:35.666] ,38
[2020-04-10 15:48:35.766] ,34
[2020-04-10 15:48:35.868] ,74
[2020-04-10 15:48:35.969] ,52
[2020-04-10 15:48:36.068] ,42
[2020-04-10 15:48:36.169] ,169
[2020-04-10 15:48:36.270] ,294
[2020-04-10 15:48:36.370] ,161
[2020-04-10 15:48:36.469] ,87
[2020-04-10 15:48:36.570] ,182
[2020-04-10 15:48:36.669] ,94
[2020-04-10 15:48:36.769] ,64
[2020-04-10 15:48:36.870] ,49
[2020-04-10 15:48:36.970] ,43
[2020-04-10 15:48:37.070] ,42
[2020-04-10 15:48:37.170] ,38
[2020-04-10 15:48:37.270] ,60
[2020-04-10 15:48:37.370] ,38
[2020-04-10 15:48:37.470] ,36
[2020-04-10 15:48:37.570] ,117
[2020-04-10 15:48:37.670] ,196
[2020-04-10 15:48:37.770] ,154
[2020-04-10 15:48:37.873] ,96
[2020-04-10 15:48:37.973] ,72
[2020-04-10 15:48:38.073] ,55
[2020-04-10 15:48:38.174] ,56
[2020-04-10 15:48:38.275] ,331
[2020-04-10 15:48:38.375] ,422
[2020-04-10 15:48:38.476] ,324
[2020-04-10 15:48:38.576] ,161
[2020-04-10 15:48:38.677] ,103
[2020-04-10 15:48:38.776] ,65
[2020-04-10 15:48:38.872] ,57
[2020-04-10 15:48:38.972] ,137
[2020-04-10 15:48:39.072] ,216
[2020-04-10 15:48:39.172] ,157
[2020-04-10 15:48:39.272] ,106
[2020-04-10 15:48:39.372] ,77
[2020-04-10 15:48:39.472] ,57
[2020-04-10 15:48:39.572] ,52
[2020-04-10 15:48:39.672] ,126
[2020-04-10 15:48:39.772] ,198
[2020-04-10 15:48:39.880] ,147
[2020-04-10 15:48:39.978] ,89
[2020-04-10 15:48:40.079] ,67
[2020-04-10 15:48:40.179] ,51
[2020-04-10 15:48:40.279] ,48
[2020-04-10 15:48:40.381] ,152
[2020-04-10 15:48:40.481] ,216
[2020-04-10 15:48:40.582] ,137
[2020-04-10 15:48:40.681] ,90
[2020-04-10 15:48:40.781] ,85
[2020-04-10 15:48:40.879] ,55
[2020-04-10 15:48:40.979] ,57
[2020-04-10 15:48:41.079] ,284
[2020-04-10 15:48:41.179] ,341
[2020-04-10 15:48:41.279] ,235
[2020-04-10 15:48:41.379] ,127
[2020-04-10 15:48:41.479] ,218
[2020-04-10 15:48:41.579] ,120
[2020-04-10 15:48:41.679] ,128
[2020-04-10 15:48:41.779] ,373
[2020-04-10 15:48:41.884] ,396
[2020-04-10 15:48:41.985] ,293
[2020-04-10 15:48:42.084] ,149
[2020-04-10 15:48:42.185] ,100
[2020-04-10 15:48:42.284] ,69
[2020-04-10 15:48:42.384] ,64
[2020-04-10 15:48:42.486] ,233
[2020-04-10 15:48:42.586] ,209
[2020-04-10 15:48:42.686] ,122
[2020-04-10 15:48:42.785] ,87
[2020-04-10 15:48:42.886] ,120
[2020-04-10 15:48:42.985] ,77
[2020-04-10 15:48:43.085] ,93
[2020-04-10 15:48:43.185] ,290
[2020-04-10 15:48:43.285] ,258
[2020-04-10 15:48:43.385] ,166
[2020-04-10 15:48:43.485] ,99
[2020-04-10 15:48:43.584] ,75
[2020-04-10 15:48:43.685] ,61
[2020-04-10 15:48:43.785] ,61
[2020-04-10 15:48:43.888] ,90
[2020-04-10 15:48:43.987] ,93
[2020-04-10 15:48:44.087] ,61
[2020-04-10 15:48:44.188] ,57
[2020-04-10 15:48:44.288] ,57
[2020-04-10 15:48:44.389] ,36
[2020-04-10 15:48:44.489] ,77
[2020-04-10 15:48:44.592] ,206
[2020-04-10 15:48:44.682] ,228
[2020-04-10 15:48:44.782] ,162
[2020-04-10 15:48:44.887] ,190
[2020-04-10 15:48:44.987] ,154
[2020-04-10 15:48:45.085] ,100
[2020-04-10 15:48:45.185] ,67
[2020-04-10 15:48:45.285] ,58
[2020-04-10 15:48:45.385] ,56
[2020-04-10 15:48:45.485] ,46
[2020-04-10 15:48:45.585] ,60
[2020-04-10 15:48:45.685] ,45
[2020-04-10 15:48:45.785] ,38
[2020-04-10 15:48:45.892] ,41
[2020-04-10 15:48:45.992] ,44
[2020-04-10 15:48:46.093] ,37
[2020-04-10 15:48:46.193] ,37
[2020-04-10 15:48:46.295] ,150
[2020-04-10 15:48:46.395] ,85
[2020-04-10 15:48:46.494] ,60
[2020-04-10 15:48:46.597] ,172
[2020-04-10 15:48:46.698] ,297
[2020-04-10 15:48:46.797] ,185
[2020-04-10 15:48:46.894] ,94
[2020-04-10 15:48:46.994] ,82
[2020-04-10 15:48:47.094] ,51
[2020-04-10 15:48:47.194] ,58
[2020-04-10 15:48:47.294] ,207
[2020-04-10 15:48:47.393] ,248
[2020-04-10 15:48:47.494] ,171
[2020-04-10 15:48:47.593] ,106
[2020-04-10 15:48:47.694] ,76
[2020-04-10 15:48:47.793] ,62
[2020-04-10 15:48:47.897] ,58
[2020-04-10 15:48:47.994] ,137
[2020-04-10 15:48:48.094] ,126
[2020-04-10 15:48:48.194] ,77
[2020-04-10 15:48:48.294] ,57
[2020-04-10 15:48:48.393] ,60
[2020-04-10 15:48:48.494] ,42
[2020-04-10 15:48:48.593] ,123
[2020-04-10 15:48:48.693] ,369
[2020-04-10 15:48:48.803] ,350
[2020-04-10 15:48:48.903] ,210
[2020-04-10 15:48:49.003] ,110
[2020-04-10 15:48:49.102] ,92
[2020-04-10 15:48:49.203] ,55
[2020-04-10 15:48:49.304] ,163
[2020-04-10 15:48:49.404] ,294
[2020-04-10 15:48:49.505] ,290
[2020-04-10 15:48:49.605] ,208
[2020-04-10 15:48:49.705] ,123
[2020-04-10 15:48:49.805] ,94
[2020-04-10 15:48:49.897] ,76
[2020-04-10 15:48:49.997] ,62
[2020-04-10 15:48:50.097] ,61
[2020-04-10 15:48:50.197] ,48
[2020-04-10 15:48:50.297] ,43
[2020-04-10 15:48:50.406] ,121
[2020-04-10 15:48:50.503] ,85
[2020-04-10 15:48:50.603] ,52
[2020-04-10 15:48:50.703] ,135
[2020-04-10 15:48:50.803] ,237
[2020-04-10 15:48:50.908] ,229
[2020-04-10 15:48:51.008] ,135
[2020-04-10 15:48:51.108] ,135
[2020-04-10 15:48:51.208] ,90
[2020-04-10 15:48:51.308] ,60
[2020-04-10 15:48:51.409] ,171
[2020-04-10 15:48:51.509] ,404
[2020-04-10 15:48:51.610] ,341
[2020-04-10 15:48:51.710] ,190
[2020-04-10 15:48:51.810] ,161
[2020-04-10 15:48:51.911] ,137
[2020-04-10 15:48:52.008] ,93
[2020-04-10 15:48:52.108] ,77
[2020-04-10 15:48:52.208] ,133
[2020-04-10 15:48:52.308] ,97
[2020-04-10 15:48:52.408] ,63
[2020-04-10 15:48:52.508] ,142
[2020-04-10 15:48:52.608] ,80
[2020-04-10 15:48:52.708] ,54
[2020-04-10 15:48:52.808] ,49
[2020-04-10 15:48:52.911] ,50
[2020-04-10 15:48:53.012] ,48
[2020-04-10 15:48:53.111] ,42
[2020-04-10 15:48:53.212] ,75
[2020-04-10 15:48:53.312] ,50
[2020-04-10 15:48:53.412] ,44
[2020-04-10 15:48:53.513] ,127
[2020-04-10 15:48:53.614] ,201
[2020-04-10 15:48:53.714] ,144
[2020-04-10 15:48:53.813] ,86
[2020-04-10 15:48:53.913] ,81
[2020-04-10 15:48:54.014] ,51
[2020-04-10 15:48:54.114] ,42
[2020-04-10 15:48:54.214] ,89
[2020-04-10 15:48:54.316] ,96
[2020-04-10 15:48:54.415] ,78
[2020-04-10 15:48:54.516] ,52
[2020-04-10 15:48:54.618] ,49
[2020-04-10 15:48:54.716] ,36
[2020-04-10 15:48:54.816] ,32
[2020-04-10 15:48:54.915] ,57
[2020-04-10 15:48:55.015] ,50
[2020-04-10 15:48:55.115] ,37
[2020-04-10 15:48:55.214] ,42
[2020-04-10 15:48:55.314] ,44
[2020-04-10 15:48:55.414] ,30
[2020-04-10 15:48:55.514] ,40
[2020-04-10 15:48:55.614] ,99
[2020-04-10 15:48:55.714] ,92
[2020-04-10 15:48:55.814] ,60
[2020-04-10 15:48:55.920] ,45
[2020-04-10 15:48:56.020] ,38
[2020-04-10 15:48:56.121] ,34
[2020-04-10 15:48:56.221] ,69
[2020-04-10 15:48:56.322] ,198
[2020-04-10 15:48:56.423] ,153
[2020-04-10 15:48:56.521] ,90
[2020-04-10 15:48:56.622] ,72
[2020-04-10 15:48:56.722] ,52
[2020-04-10 15:48:56.817] ,38
[2020-04-10 15:48:56.917] ,50
[2020-04-10 15:48:57.014] ,56
[2020-04-10 15:48:57.114] ,43
[2020-04-10 15:48:57.214] ,38
[2020-04-10 15:48:57.324] ,141
[2020-04-10 15:48:57.424] ,69
[2020-04-10 15:48:57.524] ,51
[2020-04-10 15:48:57.624] ,229
[2020-04-10 15:48:57.724] ,354
[2020-04-10 15:48:57.826] ,268
[2020-04-10 15:48:57.925] ,142
[2020-04-10 15:48:58.026] ,113
[2020-04-10 15:48:58.125] ,69
[2020-04-10 15:48:58.225] ,52
[2020-04-10 15:48:58.326] ,61
[2020-04-10 15:48:58.426] ,46
[2020-04-10 15:48:58.518] ,38
[2020-04-10 15:48:58.617] ,55
[2020-04-10 15:48:58.721] ,65
[2020-04-10 15:48:58.818] ,42
[2020-04-10 15:48:58.927] ,148
[2020-04-10 15:48:59.028] ,375
