date and time,value
[2020-04-10 15:43:34.654] ,69
[2020-04-10 15:43:34.754] ,65
[2020-04-10 15:43:34.858] ,166
[2020-04-10 15:43:34.959] ,115
[2020-04-10 15:43:35.058] ,72
[2020-04-10 15:43:35.157] ,52
[2020-04-10 15:43:35.258] ,80
[2020-04-10 15:43:35.361] ,236
[2020-04-10 15:43:35.460] ,237
[2020-04-10 15:43:35.560] ,161
[2020-04-10 15:43:35.659] ,96
[2020-04-10 15:43:35.759] ,74
[2020-04-10 15:43:35.857] ,243
[2020-04-10 15:43:35.957] ,204
[2020-04-10 15:43:36.057] ,109
[2020-04-10 15:43:36.157] ,68
[2020-04-10 15:43:36.257] ,53
[2020-04-10 15:43:36.357] ,194
[2020-04-10 15:43:36.457] ,281
[2020-04-10 15:43:36.557] ,201
[2020-04-10 15:43:36.657] ,122
[2020-04-10 15:43:36.757] ,77
[2020-04-10 15:43:36.863] ,147
[2020-04-10 15:43:36.964] ,225
[2020-04-10 15:43:37.065] ,192
[2020-04-10 15:43:37.165] ,127
[2020-04-10 15:43:37.264] ,94
[2020-04-10 15:43:37.365] ,70
[2020-04-10 15:43:37.465] ,12
[2020-04-10 15:43:37.566] ,115
[2020-04-10 15:43:37.665] ,81
[2020-04-10 15:43:37.766] ,63
[2020-04-10 15:43:37.866] ,60
[2020-04-10 15:43:37.967] ,236
[2020-04-10 15:43:38.067] ,248
[2020-04-10 15:43:38.168] ,138
[2020-04-10 15:43:38.267] ,88
[2020-04-10 15:43:38.367] ,65
[2020-04-10 15:43:38.468] ,189
[2020-04-10 15:43:38.568] ,219
[2020-04-10 15:43:38.669] ,126
[2020-04-10 15:43:38.768] ,80
[2020-04-10 15:43:38.867] ,52
[2020-04-10 15:43:38.967] ,104
[2020-04-10 15:43:39.067] ,265
[2020-04-10 15:43:39.167] ,246
[2020-04-10 15:43:39.267] ,148
[2020-04-10 15:43:39.367] ,97
[2020-04-10 15:43:39.467] ,13
[2020-04-10 15:43:39.567] ,75
[2020-04-10 15:43:39.667] ,70
[2020-04-10 15:43:39.767] ,55
[2020-04-10 15:43:39.867] ,40
[2020-04-10 15:43:39.967] ,37
[2020-04-10 15:43:40.067] ,186
[2020-04-10 15:43:40.167] ,400
[2020-04-10 15:43:40.267] ,441
[2020-04-10 15:43:40.367] ,228
[2020-04-10 15:43:40.467] ,103
[2020-04-10 15:43:40.567] ,60
[2020-04-10 15:43:40.667] ,69
[2020-04-10 15:43:40.767] ,65
[2020-04-10 15:43:40.873] ,45
[2020-04-10 15:43:40.973] ,33
[2020-04-10 15:43:41.073] ,27
[2020-04-10 15:43:41.174] ,118
[2020-04-10 15:43:41.274] ,110
[2020-04-10 15:43:41.374] ,85
[2020-04-10 15:43:41.474] ,49
[2020-04-10 15:43:41.574] ,32
[2020-04-10 15:43:41.674] ,42
[2020-04-10 15:43:41.776] ,166
[2020-04-10 15:43:41.876] ,123
[2020-04-10 15:43:41.975] ,74
[2020-04-10 15:43:42.076] ,45
[2020-04-10 15:43:42.176] ,32
[2020-04-10 15:43:42.268] ,134
[2020-04-10 15:43:42.378] ,145
[2020-04-10 15:43:42.468] ,98
[2020-04-10 15:43:42.568] ,56
[2020-04-10 15:43:42.668] ,36
[2020-04-10 15:43:42.767] ,56
[2020-04-10 15:43:42.877] ,99
[2020-04-10 15:43:42.977] ,89
[2020-04-10 15:43:43.077] ,53
[2020-04-10 15:43:43.177] ,33
[2020-04-10 15:43:43.277] ,33
[2020-04-10 15:43:43.377] ,74
[2020-04-10 15:43:43.477] ,82
[2020-04-10 15:43:43.577] ,61
[2020-04-10 15:43:43.677] ,36
[2020-04-10 15:43:43.777] ,26
[2020-04-10 15:43:43.879] ,78
[2020-04-10 15:43:43.980] ,124
[2020-04-10 15:43:44.080] ,89
[2020-04-10 15:43:44.180] ,45
[2020-04-10 15:43:44.280] ,29
[2020-04-10 15:43:44.380] ,43
[2020-04-10 15:43:44.480] ,81
[2020-04-10 15:43:44.580] ,84
[2020-04-10 15:43:44.682] ,51
[2020-04-10 15:43:44.781] ,29
[2020-04-10 15:43:44.881] ,29
[2020-04-10 15:43:44.982] ,120
[2020-04-10 15:43:45.082] ,123
[2020-04-10 15:43:45.182] ,76
[2020-04-10 15:43:45.285] ,48
[2020-04-10 15:43:45.383] ,30
[2020-04-10 15:43:45.483] ,64
[2020-04-10 15:43:45.583] ,98
[2020-04-10 15:43:45.683] ,76
[2020-04-10 15:43:45.783] ,40
[2020-04-10 15:43:45.884] ,27
[2020-04-10 15:43:45.976] ,84
[2020-04-10 15:43:46.076] ,135
[2020-04-10 15:43:46.186] ,110
[2020-04-10 15:43:46.286] ,55
[2020-04-10 15:43:46.386] ,37
[2020-04-10 15:43:46.485] ,48
[2020-04-10 15:43:46.586] ,163
[2020-04-10 15:43:46.686] ,106
[2020-04-10 15:43:46.785] ,63
[2020-04-10 15:43:46.889] ,51
[2020-04-10 15:43:46.990] ,42
[2020-04-10 15:43:47.089] ,63
[2020-04-10 15:43:47.189] ,68
[2020-04-10 15:43:47.290] ,48
[2020-04-10 15:43:47.390] ,21
[2020-04-10 15:43:47.490] ,21
[2020-04-10 15:43:47.592] ,102
[2020-04-10 15:43:47.690] ,88
[2020-04-10 15:43:47.791] ,68
[2020-04-10 15:43:47.887] ,27
[2020-04-10 15:43:47.987] ,26
[2020-04-10 15:43:48.087] ,96
[2020-04-10 15:43:48.187] ,100
[2020-04-10 15:43:48.287] ,65
[2020-04-10 15:43:48.387] ,36
[2020-04-10 15:43:48.487] ,27
[2020-04-10 15:43:48.587] ,56
[2020-04-10 15:43:48.687] ,77
[2020-04-10 15:43:48.787] ,80
[2020-04-10 15:43:48.893] ,16
[2020-04-10 15:43:48.993] ,89
[2020-04-10 15:43:49.094] ,85
[2020-04-10 15:43:49.194] ,91
[2020-04-10 15:43:49.294] ,91
[2020-04-10 15:43:49.395] ,93
[2020-04-10 15:43:49.495] ,94
[2020-04-10 15:43:49.595] ,94
[2020-04-10 15:43:49.695] ,94
[2020-04-10 15:43:49.795] ,94
[2020-04-10 15:43:49.895] ,94
[2020-04-10 15:43:49.996] ,87
[2020-04-10 15:43:50.096] ,94
[2020-04-10 15:43:50.197] ,96
[2020-04-10 15:43:50.296] ,94
[2020-04-10 15:43:50.397] ,94
[2020-04-10 15:43:50.491] ,89
[2020-04-10 15:43:50.591] ,78
[2020-04-10 15:43:50.690] ,66
[2020-04-10 15:43:50.790] ,62
[2020-04-10 15:43:50.890] ,65
[2020-04-10 15:43:50.990] ,80
[2020-04-10 15:43:51.090] ,80
[2020-04-10 15:43:51.190] ,62
[2020-04-10 15:43:51.300] ,57
[2020-04-10 15:43:51.390] ,61
[2020-04-10 15:43:51.500] ,66
[2020-04-10 15:43:51.600] ,75
[2020-04-10 15:43:51.700] ,76
[2020-04-10 15:43:51.800] ,67
[2020-04-10 15:43:51.901] ,62
[2020-04-10 15:43:52.001] ,62
[2020-04-10 15:43:52.101] ,64
[2020-04-10 15:43:52.201] ,66
[2020-04-10 15:43:52.301] ,68
[2020-04-10 15:43:52.401] ,69
[2020-04-10 15:43:52.501] ,69
[2020-04-10 15:43:52.602] ,69
[2020-04-10 15:43:52.701] ,70
[2020-04-10 15:43:52.802] ,70
[2020-04-10 15:43:52.896] ,70
[2020-04-10 15:43:52.995] ,70
[2020-04-10 15:43:53.095] ,70
[2020-04-10 15:43:53.195] ,70
[2020-04-10 15:43:53.295] ,69
[2020-04-10 15:43:53.395] ,67
[2020-04-10 15:43:53.495] ,66
[2020-04-10 15:43:53.595] ,67
[2020-04-10 15:43:53.695] ,69
[2020-04-10 15:43:53.795] ,69
[2020-04-10 15:43:53.904] ,69
[2020-04-10 15:43:54.005] ,62
[2020-04-10 15:43:54.105] ,69
[2020-04-10 15:43:54.206] ,69
[2020-04-10 15:43:54.306] ,69
[2020-04-10 15:43:54.405] ,78
[2020-04-10 15:43:54.505] ,88
[2020-04-10 15:43:54.606] ,93
[2020-04-10 15:43:54.706] ,86
[2020-04-10 15:43:54.806] ,77
[2020-04-10 15:43:54.905] ,68
[2020-04-10 15:43:55.005] ,75
[2020-04-10 15:43:55.104] ,75
[2020-04-10 15:43:55.204] ,67
[2020-04-10 15:43:55.304] ,74
[2020-04-10 15:43:55.404] ,74
[2020-04-10 15:43:55.504] ,109
[2020-04-10 15:43:55.604] ,108
[2020-04-10 15:43:55.704] ,81
[2020-04-10 15:43:55.804] ,74
[2020-04-10 15:43:55.909] ,67
[2020-04-10 15:43:56.010] ,61
[2020-04-10 15:43:56.110] ,57
[2020-04-10 15:43:56.211] ,67
[2020-04-10 15:43:56.311] ,68
[2020-04-10 15:43:56.411] ,69
[2020-04-10 15:43:56.512] ,69
[2020-04-10 15:43:56.612] ,70
[2020-04-10 15:43:56.711] ,68
[2020-04-10 15:43:56.812] ,62
[2020-04-10 15:43:56.912] ,61
[2020-04-10 15:43:57.006] ,60
[2020-04-10 15:43:57.106] ,58
[2020-04-10 15:43:57.206] ,57
[2020-04-10 15:43:57.305] ,57
[2020-04-10 15:43:57.405] ,50
[2020-04-10 15:43:57.505] ,56
[2020-04-10 15:43:57.615] ,56
[2020-04-10 15:43:57.705] ,55
[2020-04-10 15:43:57.805] ,56
[2020-04-10 15:43:57.915] ,56
[2020-04-10 15:43:58.015] ,56
[2020-04-10 15:43:58.118] ,57
[2020-04-10 15:43:58.215] ,57
[2020-04-10 15:43:58.316] ,57
[2020-04-10 15:43:58.415] ,57
